NAVN     Niveau             dato
obama       2       2019-05-14 14:46:22.555388
obama       2       2019-05-14 14:49:55.782052
obama       2       2019-05-14 14:52:44.827937
emil        3       2019-05-14 15:24:15.108258
emil        3       2019-05-15 10:17:28.130892
emil        3       2019-05-15 10:35:45.399084
biden       1       2019-05-15 10:36:44.518006
biden       1       2019-05-15 10:40:28.887752
emil        3       2019-05-15 10:40:54.652628
biden       1       2019-05-15 10:46:38.599644
biden       1       2019-05-15 10:55:51.503903
emil        3       2019-05-15 10:56:19.539105
biden       1       2019-05-15 10:59:13.722150
emil        3       2019-05-15 10:59:35.601192
Jan         2       2019-05-15 11:49:22.813687
Jan         2       2019-05-15 11:51:40.296129
emil        3       2019-05-15 11:52:23.247318
emil        3       2019-05-15 11:56:02.347245
emil        3       2019-05-15 11:56:51.864873
Jan         2       2019-05-15 11:57:19.891611
emil        3       2019-05-15 12:02:05.864592
emil        3       2019-05-15 12:02:46.667336
emil        3       2019-05-15 12:06:28.677550
emil        3       2019-05-15 12:07:11.584475
emil        3       2019-05-15 12:07:14.217552
biden       1       2019-05-15 12:57:53.954924
biden       1       2019-05-15 13:57:51.423517
biden       1       2019-05-15 14:01:10.769325
biden       1       2019-05-15 14:01:32.224087
biden       1       2019-05-15 14:15:58.156885
emil        3       2019-05-15 14:16:15.525319
emil        3       2019-05-15 14:18:42.772344
emil        3       2019-05-15 14:21:04.036256
Jan         2       2019-05-15 14:21:49.127454
biden       1       2019-05-15 14:22:42.048748
Jan         2       2019-05-15 14:23:17.897178
biden       1       2019-05-15 14:26:54.826189
Jan         2       2019-05-15 14:29:27.193727
Emil        3       2019-05-16 09:57:50.893885
Emil        3       2019-05-16 09:58:43.340388
Jan         2       2019-05-16 10:45:45.541153
Jan         2       2019-05-16 10:47:51.842522
Emil        3       2019-05-16 10:59:26.683416
Emil        3       2019-05-16 11:00:14.124536
biden       1       2019-05-16 11:14:28.209548
biden       1       2019-05-16 11:14:52.918934
Emil        3       2019-05-16 11:15:10.238972
biden       1       2019-05-16 11:33:28.479533
Emil        3       2019-05-16 11:33:43.477542
biden       1       2019-05-16 11:34:36.354890
Emil        3       2019-05-16 12:26:52.386966
